epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6005,1.29599,3.07512,1.21765,0.40833,0.2881,0.26938,0.18688,1.03952,2.23913,1.09103,0.000301635,0.000301635,0.000301635
2,64.7957,1.27591,2.18643,1.21942,0.59098,0.40842,0.41331,0.28665,1.03126,1.61222,1.09965,0.000592555,0.000592555,0.000592555
3,91.4142,1.29353,1.97455,1.21957,0.64211,0.44737,0.48537,0.33836,1.03944,1.43962,1.11061,0.000871366,0.000871366,0.000871366
4,116.987,1.24665,1.77008,1.19885,0.72216,0.43009,0.50698,0.36322,1.0054,1.30026,1.08724,0.000854515,0.000854515,0.000854515
5,141.923,1.2343,1.62444,1.18031,0.70802,0.46353,0.53918,0.39034,0.95931,1.26104,1.05922,0.000836353,0.000836353,0.000836353
6,168.535,1.20336,1.52502,1.16252,0.78506,0.49371,0.58056,0.41806,0.95522,1.10032,1.0629,0.000818191,0.000818191,0.000818191
7,191.096,1.17512,1.43036,1.14442,0.78918,0.4851,0.5693,0.41876,0.93431,1.14316,1.04337,0.000800029,0.000800029,0.000800029
8,212.274,1.13883,1.34685,1.13885,0.7785,0.52495,0.59201,0.43734,0.89263,1.02062,1.03127,0.000781867,0.000781867,0.000781867
9,236.402,1.11181,1.31257,1.11747,0.8074,0.51537,0.5959,0.44445,0.87423,0.98266,1.01686,0.000763705,0.000763705,0.000763705
10,269.849,1.08947,1.2335,1.11302,0.84901,0.55551,0.63493,0.46866,0.85848,0.89629,1.00849,0.000745544,0.000745544,0.000745544
11,301.466,1.12016,1.24166,1.12108,0.78112,0.56288,0.62625,0.46714,0.84788,0.92704,1.0016,0.000727382,0.000727382,0.000727382
12,328.151,1.07527,1.16301,1.09913,0.84131,0.52959,0.62253,0.46147,0.85499,0.94389,1.01005,0.00070922,0.00070922,0.00070922
13,354.934,1.07242,1.14662,1.09392,0.87635,0.54219,0.64397,0.48035,0.82905,0.85806,0.98896,0.000691058,0.000691058,0.000691058
14,386.367,1.06384,1.15068,1.10699,0.79577,0.58039,0.6495,0.49789,0.81985,0.84861,0.98991,0.000672896,0.000672896,0.000672896
15,408.23,1.04482,1.10075,1.08522,0.87834,0.5762,0.66215,0.50342,0.79485,0.81503,0.98076,0.000654735,0.000654735,0.000654735
16,429.296,1.03937,1.09789,1.09805,0.88956,0.57207,0.66455,0.51124,0.77437,0.79037,0.96511,0.000636573,0.000636573,0.000636573
17,453.415,1.01982,1.05595,1.08079,0.82184,0.5779,0.65583,0.49683,0.78758,0.8199,0.97675,0.000618411,0.000618411,0.000618411
18,479.377,1.01343,1.06369,1.07868,0.84191,0.59992,0.67127,0.51448,0.75977,0.76724,0.96271,0.000600249,0.000600249,0.000600249
19,502.393,1.00056,1.00902,1.07024,0.83788,0.59621,0.67502,0.5201,0.75792,0.74052,0.97349,0.000582087,0.000582087,0.000582087
20,533.399,0.98443,1.00657,1.05673,0.85348,0.60532,0.68117,0.52367,0.75722,0.74522,0.96431,0.000563925,0.000563925,0.000563925
21,565.057,0.98228,0.98181,1.04666,0.85224,0.59805,0.68336,0.52236,0.75541,0.75201,0.95356,0.000545764,0.000545764,0.000545764
22,596.569,0.96259,0.96603,1.05073,0.86052,0.59941,0.68358,0.52602,0.73912,0.73241,0.95121,0.000527602,0.000527602,0.000527602
23,624.797,0.96252,0.95632,1.04924,0.87095,0.60394,0.67858,0.52111,0.75347,0.70679,0.96638,0.00050944,0.00050944,0.00050944
24,663.347,0.94863,0.94172,1.03833,0.85591,0.60355,0.68106,0.51922,0.74474,0.70355,0.94872,0.000491278,0.000491278,0.000491278
25,697.328,0.94492,0.93302,1.04413,0.84371,0.61232,0.6872,0.52381,0.74477,0.71609,0.96326,0.000473116,0.000473116,0.000473116
26,723.533,0.91504,0.9073,1.03317,0.90427,0.59034,0.68929,0.53102,0.7158,0.68943,0.93857,0.000454954,0.000454954,0.000454954
27,760.248,0.92716,0.91297,1.03106,0.90037,0.6062,0.68764,0.53634,0.71671,0.69316,0.94231,0.000436793,0.000436793,0.000436793
28,786.544,0.91986,0.89451,1.03239,0.88137,0.60205,0.69229,0.53739,0.70748,0.6763,0.93635,0.000418631,0.000418631,0.000418631
29,829.804,0.9048,0.87567,1.01408,0.85538,0.6302,0.70197,0.53879,0.70483,0.67992,0.94795,0.000400469,0.000400469,0.000400469
30,864.477,0.90714,0.88085,1.02183,0.87757,0.62817,0.70467,0.54334,0.70672,0.65401,0.94535,0.000382307,0.000382307,0.000382307
31,903.051,0.91264,0.86443,1.0207,0.8947,0.62265,0.70472,0.5493,0.69266,0.65725,0.92889,0.000364145,0.000364145,0.000364145
32,936.077,0.89,0.85362,1.01852,0.91406,0.62428,0.7075,0.5587,0.66919,0.61939,0.92657,0.000345984,0.000345984,0.000345984
33,957.96,0.88034,0.84687,1.00783,0.87772,0.65174,0.71414,0.56284,0.66949,0.62845,0.92261,0.000327822,0.000327822,0.000327822
34,980.132,0.87245,0.82712,1.01172,0.88576,0.63611,0.70965,0.55916,0.67468,0.63117,0.9239,0.00030966,0.00030966,0.00030966
35,1002.87,0.86687,0.8203,1.0071,0.91275,0.60251,0.70711,0.56576,0.65189,0.60836,0.91263,0.000291498,0.000291498,0.000291498
36,1024.26,0.85412,0.79006,0.99772,0.87927,0.63278,0.70631,0.56064,0.65733,0.60982,0.91549,0.000273336,0.000273336,0.000273336
37,1047.72,0.84534,0.7903,0.99393,0.92755,0.60758,0.71024,0.55986,0.66382,0.60822,0.92622,0.000255174,0.000255174,0.000255174
38,1070.2,0.85854,0.80282,0.99829,0.87566,0.63757,0.71382,0.57026,0.65064,0.59651,0.91637,0.000237013,0.000237013,0.000237013
39,1094.83,0.84287,0.76403,0.98645,0.89456,0.65343,0.72155,0.57731,0.64062,0.57989,0.91197,0.000218851,0.000218851,0.000218851
40,1117.37,0.83271,0.76549,0.98972,0.91343,0.63043,0.72262,0.57732,0.64381,0.59073,0.91721,0.000200689,0.000200689,0.000200689
41,1188.6,0.6722,0.61033,0.92089,0.90563,0.63356,0.71244,0.56915,0.65397,0.58352,0.91071,0.000182527,0.000182527,0.000182527
42,1208.8,0.65518,0.58553,0.91683,0.91058,0.63433,0.72134,0.5716,0.63414,0.57701,0.91323,0.000164365,0.000164365,0.000164365
43,1228.92,0.64436,0.57826,0.91004,0.8618,0.63931,0.71668,0.57269,0.64368,0.5884,0.91718,0.000146204,0.000146204,0.000146204
44,1249.26,0.634,0.56997,0.90881,0.93199,0.62282,0.7185,0.5732,0.62074,0.57275,0.90705,0.000128042,0.000128042,0.000128042
45,1270.87,0.63498,0.57345,0.90795,0.94737,0.61927,0.72195,0.57534,0.62712,0.57607,0.91159,0.00010988,0.00010988,0.00010988
46,1291.61,0.63653,0.55528,0.90155,0.89262,0.65088,0.72575,0.58195,0.61753,0.55045,0.90913,9.17181e-05,9.17181e-05,9.17181e-05
47,1312.29,0.62324,0.54993,0.90165,0.92425,0.64096,0.72516,0.58436,0.61761,0.5563,0.91129,7.35563e-05,7.35563e-05,7.35563e-05
48,1335.93,0.62335,0.53869,0.89204,0.88074,0.65978,0.73207,0.583,0.61039,0.54386,0.89971,5.53945e-05,5.53945e-05,5.53945e-05
49,1371.66,0.59115,0.5202,0.88728,0.91589,0.64385,0.72858,0.58545,0.6091,0.54361,0.90172,3.72326e-05,3.72326e-05,3.72326e-05
50,1403.39,0.59278,0.51105,0.88923,0.89653,0.65351,0.73028,0.58589,0.60571,0.54261,0.90053,1.90708e-05,1.90708e-05,1.90708e-05
